"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","190"
"Cow Dung","56"
"Electricity","125"
"Kerosene","2095"
"LP Gas","47463"
"Not stated","415"
"Others","941"
"Wood/Firewood","17272"
"Total","68557"
