"Population by Five Years Age Group","Number"
"0-4",""
"Female","9197"
"Male","10625"
"10-14",""
"Female","14770"
"Male","16621"
"15-19",""
"Female","16007"
"Male","17787"
"20-24",""
"Female","18160"
"Male","18001"
"25-29",""
"Female","16256"
"Male","15386"
"30-34",""
"Female","13930"
"Male","13414"
"35-39",""
"Female","11747"
"Male","11898"
"40-44",""
"Female","9293"
"Male","10168"
"45-49",""
"Female","7120"
"Male","7537"
"50-54",""
"Female","5499"
"Male","5654"
"55-59",""
"Female","4200"
"Male","4230"
"5-9",""
"Female","11384"
"Male","12928"
"60-64",""
"Female","3707"
"Male","3273"
"65-69",""
"Female","3045"
"Male","2736"
"70-74",""
"Female","2265"
"Male","1986"
"75+",""
"Female","3187"
"Male","2640"
