"Agricultural land use area","Hectare"
"Area under arable land","5220.15"
"Area under meadows and pasture","3.45"
"Area under permanent crops","25.01"
"Area under Temporary crops","5181.53"
"Area under temporary fallow","22.67"
"Area under temporary meadows","15.95"
"Other land","404.83"
"Ponds","1.77"
"Woodland and forest","27.60"
