"Population by Five Years Age Group","Number"
"0-4",""
"Female","727"
"Male","746"
"10-14",""
"Female","624"
"Male","642"
"15-19",""
"Female","390"
"Male","400"
"20-24",""
"Female","368"
"Male","300"
"25-29",""
"Female","361"
"Male","333"
"30-34",""
"Female","261"
"Male","287"
"35-39",""
"Female","228"
"Male","221"
"40-44",""
"Female","176"
"Male","192"
"45-49",""
"Female","161"
"Male","161"
"50-54",""
"Female","103"
"Male","129"
"55-59",""
"Female","65"
"Male","91"
"5-9",""
"Female","772"
"Male","814"
"60-64",""
"Female","100"
"Male","88"
"65-69",""
"Female","61"
"Male","70"
"70-74",""
"Female","50"
"Male","41"
"75+",""
"Female","28"
"Male","43"
