"Agricultural land use area","Hectare"
"Area under arable land","53838.00"
"Area under meadows and pasture","175.00"
"Area under permanent crops","649.00"
"Area under Temporary crops","53584.00"
"Area under temporary fallow","206.00"
"Area under temporary meadows","48.00"
"Other land","1758.00"
"Ponds","340.00"
"Woodland and forest","107.00"
"Total","110705.00"
