"Number of households by type of outer wall","Number"
"BambooWall","51460"
"Cement Bonded Bricks/Stone Wall","32164"
"Mud Bonded Bricks/Stone Wall","10313"
"Not Stated about Wall","1690"
"Other Type Wall","2495"
"Unbaked Bricks","788"
"Wood/Planks","9690"
"Total","108600"
