"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","22"
"Male","20"
"Brahman - Hill",""
"Female","405"
"Male","363"
"Chhetri",""
"Female","4022"
"Male","3726"
"Damai/Dholi",""
"Female","337"
"Male","317"
"Gurung",""
"Female","12"
"Male","12"
"Kami",""
"Female","884"
"Male","803"
"Magar",""
"Female","2161"
"Male","2008"
"Newar",""
"Female","24"
"Male","19"
"Others",""
"Female","14"
"Male","15"
"Sarki",""
"Female","142"
"Male","129"
"Sunuwar",""
"Female","3"
"Male","8"
"Thakuri",""
"Female","581"
"Male","470"
