"Population by Five Years Age Group","Number"
"0-4",""
"Female","870"
"Male","961"
"10-14",""
"Female","1200"
"Male","1177"
"15-19",""
"Female","959"
"Male","808"
"20-24",""
"Female","831"
"Male","571"
"25-29",""
"Female","621"
"Male","465"
"30-34",""
"Female","546"
"Male","383"
"35-39",""
"Female","512"
"Male","380"
"40-44",""
"Female","427"
"Male","372"
"45-49",""
"Female","384"
"Male","331"
"50-54",""
"Female","275"
"Male","331"
"55-59",""
"Female","252"
"Male","238"
"5-9",""
"Female","1103"
"Male","1230"
"60-64",""
"Female","278"
"Male","269"
"65-69",""
"Female","155"
"Male","151"
"70-74",""
"Female","112"
"Male","144"
"75+",""
"Female","92"
"Male","116"
