"Population by Five Years Age Group","Number"
"0-4",""
"Female","197"
"Male","180"
"10-14",""
"Female","292"
"Male","266"
"15-19",""
"Female","249"
"Male","322"
"20-24",""
"Female","265"
"Male","367"
"25-29",""
"Female","250"
"Male","548"
"30-34",""
"Female","209"
"Male","324"
"35-39",""
"Female","217"
"Male","292"
"40-44",""
"Female","181"
"Male","262"
"45-49",""
"Female","150"
"Male","223"
"50-54",""
"Female","130"
"Male","193"
"55-59",""
"Female","123"
"Male","138"
"5-9",""
"Female","236"
"Male","240"
"60-64",""
"Female","133"
"Male","97"
"65-69",""
"Female","79"
"Male","80"
"70-74",""
"Female","86"
"Male","64"
"75+",""
"Female","80"
"Male","65"
