"Agricultural land use area","Hectare"
"Area under arable land","367.00"
"Area under meadows and pasture","31.22"
"Area under permanent crops","27.21"
"Area under Temporary crops","330.40"
"Area under temporary fallow","32.40"
"Area under temporary meadows","4.20"
"Other land","24.97"
"Ponds","0.00"
"Woodland and forest","23.18"
