"Population by Caste Ethinicity","Number"
"Badi",""
"Female","35"
"Male","31"
"","66"
"Brahman - Hill",""
"Female","272"
"Male","271"
"","543"
"Chhetri",""
"Female","2409"
"Male","2175"
"","4584"
"Damai/Dholi",""
"Female","119"
"Male","118"
"","237"
"Gharti/Bhujel",""
"Female","64"
"Male","67"
"","131"
"Kami",""
"Female","407"
"Male","395"
"","802"
"Magar",""
"Female","140"
"Male","108"
"","248"
"Majhi",""
"Female","39"
"Male","43"
"","82"
"Newar",""
"Female","261"
"Male","256"
"","517"
"Others",""
"Female","20"
"Male","36"
"","56"
"Rai",""
"Female","3627"
"Male","3343"
"","6970"
"Sanyasi/Dasnami",""
"Female","22"
"Male","24"
"","46"
"Sarki",""
"Female","241"
"Male","228"
"","469"
"Tamang",""
"Female","313"
"Male","260"
"","573"
"Undefined Others",""
"Female","14"
"Male","20"
"","34"
"Yadav",""
"Female","41"
"Male","45"
"","86"
