"Population by Mother tongue","Number"
"Bantawa",""
"Female","2073"
"Male","1896"
"","3969"
"Chamling",""
"Female","130"
"Male","125"
"","255"
"Magar",""
"Female","128"
"Male","96"
"","224"
"Maithili",""
"Female","5"
"Male","23"
"","28"
"Nepali",""
"Female","4087"
"Male","3781"
"","7868"
"Newar",""
"Female","74"
"Male","75"
"","149"
"Not Reported",""
"Female","21"
"Male","12"
"","33"
"Others",""
"Female","28"
"Male","33"
"","61"
"Puma",""
"Female","1169"
"Male","1115"
"","2284"
"Rai",""
"Female","180"
"Male","159"
"","339"
"Tamang",""
"Female","111"
"Male","89"
"","200"
"Thulung",""
"Female","18"
"Male","16"
"","34"
