"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","7247"
"Mud Roof","0"
"Not Sated Roof","1280"
"Other Type of Roof","502"
"RCC Roof","21498"
"Thatch/Straw Roof","8076"
"Tile/Slate Roof","42922"
"Wood/Planks Roof","609"
"Total","82134"
