"Population by Caste Ethinicity","Number"
"Badi",""
"Female","692"
"Male","566"
"","1258"
"Bangali",""
"Female","61"
"Male","73"
"","134"
"Bhote",""
"Female","9"
"Male","8"
"","17"
"Bote",""
"Female","98"
"Male","100"
"","198"
"Brahman - Hill",""
"Female","37239"
"Male","34441"
"","71680"
"Brahman - Tarai",""
"Female","89"
"Male","102"
"","191"
"Chamar/ Harijan/ Ram",""
"Female","16"
"Male","18"
"","34"
"Chhetri",""
"Female","68814"
"Male","60313"
"","129127"
"Dalit Others",""
"Female","8828"
"Male","8010"
"","16838"
"Damai/Dholi",""
"Female","5530"
"Male","4843"
"","10373"
"Dhandi",""
"Female","10"
"Male","8"
"","18"
"Dhanuk",""
"Female","116"
"Male","116"
"","232"
"Dhobi",""
"Female","15"
"Male","13"
"","28"
"Foreigner",""
"Female","65"
"Male","84"
"","149"
"Gharti/Bhujel",""
"Female","63"
"Male","40"
"","103"
"Gurung",""
"Female","1046"
"Male","860"
"","1906"
"Hajam/Thakur",""
"Female","174"
"Male","187"
"","361"
"Halwai",""
"Female","77"
"Male","102"
"","179"
"Janajati Others",""
"Female","17"
"Male","25"
"","42"
"Jhangad/ Dhagar",""
"Female","80"
"Male","80"
"","160"
"Kalwar",""
"Female","5"
"Male","7"
"","12"
"Kami",""
"Female","18611"
"Male","16086"
"","34697"
"Kathabaniyan",""
"Female","213"
"Male","309"
"","522"
"Kayastha",""
"Female","7"
"Male","9"
"","16"
"Kumal",""
"Female","224"
"Male","197"
"","421"
"Kurmi",""
"Female","17"
"Male","21"
"","38"
"Limbu",""
"Female","79"
"Male","66"
"","145"
"Lohar",""
"Female","1330"
"Male","1231"
"","2561"
"Magar",""
"Female","6612"
"Male","5951"
"","12563"
"Majhi",""
"Female","68"
"Male","71"
"","139"
"Marwadi",""
"Female","23"
"Male","22"
"","45"
"Musahar",""
"Female","16"
"Male","17"
"","33"
"Musalman",""
"Female","178"
"Male","272"
"","450"
"Newar",""
"Female","598"
"Male","516"
"","1114"
"Others",""
"Female","344"
"Male","281"
"","625"
"Pahari",""
"Female","8"
"Male","3"
"","11"
"Rai",""
"Female","104"
"Male","83"
"","187"
"Rajbansi",""
"Female","15"
"Male","12"
"","27"
"Raji",""
"Female","54"
"Male","47"
"","101"
"Rajput",""
"Female","49"
"Male","43"
"","92"
"Raute",""
"Female","12"
"Male","14"
"","26"
"Sanyasi/Dasnami",""
"Female","3586"
"Male","3012"
"","6598"
"Sarki",""
"Female","3862"
"Male","3336"
"","7198"
"Sunuwar",""
"Female","36"
"Male","21"
"","57"
"Tamang",""
"Female","3463"
"Male","2880"
"","6343"
"Teli",""
"Female","84"
"Male","73"
"","157"
"Terai Others",""
"Female","157"
"Male","136"
"","293"
"Thakuri",""
"Female","13591"
"Male","11600"
"","25191"
"Thami",""
"Female","79"
"Male","72"
"","151"
"Tharu",""
"Female","58649"
"Male","56989"
"","115638"
"Yadav",""
"Female","7"
"Male","17"
"","24"
