"Agricultural land use area","Hectare"
"Area under arable land","41465.00"
"Area under meadows and pasture","0.00"
"Area under permanent crops","225.00"
"Area under Temporary crops","41454.00"
"Area under temporary fallow","11.00"
"Area under temporary meadows","0.00"
"Other land","2644.00"
"Ponds","5.00"
"Woodland and forest","13.00"
"Total","85817.00"
