"Number of households by type of outer wall","Number"
"BambooWall","5508"
"Cement Bonded Bricks/Stone Wall","3638"
"Mud Bonded Bricks/Stone Wall","517"
"Not Stated about Wall","184"
"Other Type Wall","60"
"Unbaked Bricks","22"
"Wood/Planks","3516"
"Total","13445"
