"Population by Mother tongue","Number"
"Jero/Jerung",""
"Female","568"
"Male","474"
"","1042"
"Magar",""
"Female","1131"
"Male","873"
"","2004"
"Maithili",""
"Female","9"
"Male","14"
"","23"
"Nepali",""
"Female","5764"
"Male","5019"
"","10783"
"Not Reported",""
"Female","22"
"Male","19"
"","41"
"Others",""
"Female","20"
"Male","13"
"","33"
"Rai",""
"Female","430"
"Male","440"
"","870"
"Sunuwar",""
"Female","137"
"Male","104"
"","241"
"Tamang",""
"Female","1917"
"Male","1579"
"","3496"
"Wambule",""
"Female","11"
"Male","6"
"","17"
