"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1234"
"Male","1114"
"","2348"
"Chhetri",""
"Female","2645"
"Male","2297"
"","4942"
"Dalit Others",""
"Female","12"
"Male","16"
"","28"
"Damai/Dholi",""
"Female","246"
"Male","207"
"","453"
"Dhimal",""
"Female","8"
"Male","5"
"","13"
"Gharti/Bhujel",""
"Female","138"
"Male","127"
"","265"
"Gurung",""
"Female","23"
"Male","17"
"","40"
"Kami",""
"Female","339"
"Male","294"
"","633"
"Koiri/Kushwaha",""
"Female","7"
"Male","5"
"","12"
"Magar",""
"Female","1202"
"Male","930"
"","2132"
"Majhi",""
"Female","44"
"Male","38"
"","82"
"Newar",""
"Female","645"
"Male","524"
"","1169"
"Others",""
"Female","19"
"Male","25"
"","44"
"Rai",""
"Female","1038"
"Male","943"
"","1981"
"Sanyasi/Dasnami",""
"Female","90"
"Male","74"
"","164"
"Sarki",""
"Female","169"
"Male","139"
"","308"
"Sunuwar",""
"Female","206"
"Male","179"
"","385"
"Tamang",""
"Female","1944"
"Male","1607"
"","3551"
