"Population by Five Years Age Group","Number"
"0-4",""
"Female","15521"
"Male","15966"
"10-14",""
"Female","22586"
"Male","23284"
"15-19",""
"Female","20311"
"Male","17559"
"20-24",""
"Female","15938"
"Male","10226"
"25-29",""
"Female","13460"
"Male","8844"
"30-34",""
"Female","10391"
"Male","7526"
"35-39",""
"Female","9906"
"Male","7751"
"40-44",""
"Female","8893"
"Male","7661"
"45-49",""
"Female","7135"
"Male","6693"
"50-54",""
"Female","6110"
"Male","6085"
"55-59",""
"Female","4780"
"Male","4839"
"5-9",""
"Female","20013"
"Male","20939"
"60-64",""
"Female","4536"
"Male","4318"
"65-69",""
"Female","3119"
"Male","3136"
"70-74",""
"Female","2152"
"Male","2188"
"75+",""
"Female","2969"
"Male","2697"
