"Agricultural land use area","Hectare"
"Area under arable land","25794.85"
"Area under meadows and pasture","78.81"
"Area under permanent crops","324.54"
"Area under Temporary crops","25533.83"
"Area under temporary fallow","217.68"
"Area under temporary meadows","43.34"
"Other land","1787.61"
"Ponds","13.36"
"Woodland and forest","163.11"
