"Number of households by type of outer wall","Number"
"BambooWall","53"
"Cement Bonded Bricks/Stone Wall","7125"
"Mud Bonded Bricks/Stone Wall","9652"
"Not Stated about Wall","435"
"Other Type Wall","31"
"Unbaked Bricks","398"
"Wood/Planks","68"
"Total","17762"
