"Population by Caste Ethinicity","Number"
"Badi",""
"Female","34"
"Male","37"
"","71"
"Bangali",""
"Female","6"
"Male","20"
"","26"
"Bantaba",""
"Female","6"
"Male","5"
"","11"
"Bhote",""
"Female","60"
"Male","63"
"","123"
"Brahman - Hill",""
"Female","4257"
"Male","4176"
"","8433"
"Brahman - Tarai",""
"Female","15"
"Male","20"
"","35"
"Chamar/ Harijan/ Ram",""
"Female","12"
"Male","22"
"","34"
"Chamling",""
"Female","7"
"Male","14"
"","21"
"Chhetri",""
"Female","10896"
"Male","10108"
"","21004"
"Dalit Others",""
"Female","91"
"Male","82"
"","173"
"Damai/Dholi",""
"Female","443"
"Male","402"
"","845"
"Danuwar",""
"Female","435"
"Male","415"
"","850"
"Dhanuk",""
"Female","13"
"Male","28"
"","41"
"Dhimal",""
"Female","6"
"Male","5"
"","11"
"Foreigner",""
"Female","11"
"Male","15"
"","26"
"Gharti/Bhujel",""
"Female","45"
"Male","57"
"","102"
"Gurung",""
"Female","163"
"Male","157"
"","320"
"Hajam/Thakur",""
"Female","28"
"Male","47"
"","75"
"Halwai",""
"Female","4"
"Male","9"
"","13"
"Janajati Others",""
"Female","16"
"Male","19"
"","35"
"Jirel",""
"Female","5"
"Male","7"
"","12"
"Kalwar",""
"Female","4"
"Male","22"
"","26"
"Kami",""
"Female","529"
"Male","489"
"","1018"
"Koiri/Kushwaha",""
"Female","16"
"Male","22"
"","38"
"Kumal",""
"Female","7"
"Male","10"
"","17"
"Kumhar",""
"Female","5"
"Male","17"
"","22"
"Limbu",""
"Female","98"
"Male","91"
"","189"
"Magar",""
"Female","1058"
"Male","1020"
"","2078"
"Majhi",""
"Female","80"
"Male","89"
"","169"
"Musalman",""
"Female","52"
"Male","129"
"","181"
"Newar",""
"Female","11516"
"Male","10871"
"","22387"
"Others",""
"Female","73"
"Male","98"
"","171"
"Pahari",""
"Female","1706"
"Male","1685"
"","3391"
"Rai",""
"Female","440"
"Male","394"
"","834"
"Rajbansi",""
"Female","7"
"Male","8"
"","15"
"Sanyasi/Dasnami",""
"Female","231"
"Male","211"
"","442"
"Sarki",""
"Female","795"
"Male","696"
"","1491"
"Sherpa",""
"Female","55"
"Male","41"
"","96"
"Sunuwar",""
"Female","28"
"Male","17"
"","45"
"Tamang",""
"Female","6450"
"Male","6268"
"","12718"
"Teli",""
"Female","25"
"Male","38"
"","63"
"Terai Others",""
"Female","33"
"Male","40"
"","73"
"Thakuri",""
"Female","51"
"Male","43"
"","94"
"Thami",""
"Female","26"
"Male","15"
"","41"
"Tharu",""
"Female","132"
"Male","173"
"","305"
"Thulung",""
"Female","13"
"Male","12"
"","25"
"Undefined Others",""
"Female","6"
"Male","5"
"","11"
"Yadav",""
"Female","30"
"Male","70"
"","100"
