"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","35"
"Cow Dung","88"
"Electricity Fuel","13"
"KeroseneFuel","468"
"LP Gas","8864"
"Not Sated about Fuel","185"
"OthersFuel","58"
"Wood/FireWood","8051"
"Total","17762"
