"Agricultural land use area","Hectare"
"Area under arable land","70589.00"
"Area under meadows and pasture","27.00"
"Area under permanent crops","1109.00"
"Area under Temporary crops","69423.00"
"Area under temporary fallow","1153.00"
"Area under temporary meadows","13.00"
"Other land","3033.00"
"Ponds","218.00"
"Woodland and forest","167.00"
"Total","145732.00"
