"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","96127"
"Mud Roof","0"
"Not Sated Roof","1636"
"Other Type of Roof","537"
"RCC Roof","35193"
"Thatch/Straw Roof","27485"
"Tile/Slate Roof","784"
"Wood/Planks Roof","517"
"Total","162279"
