"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","2988"
"Cow Dung","50288"
"Electricity Fuel","137"
"KeroseneFuel","1936"
"LP Gas","46982"
"Not Sated about Fuel","842"
"OthersFuel","1128"
"Wood/FireWood","57978"
"Total","162279"
