"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","7"
"Cow Dung","1831"
"Electricity Fuel","0"
"KeroseneFuel","81"
"LP Gas","18"
"Not Sated about Fuel","81"
"OthersFuel","112"
"Wood/FireWood","3789"
"Total","5919"
