"Population by Mother tongue","Number"
"Bajjika",""
"Female","14969"
"Male","16259"
"","31228"
"Bhojpuri",""
"Female","627"
"Male","623"
"","1250"
"Doteli",""
"Female","12"
"Male","8"
"","20"
"Hindi",""
"Female","14"
"Male","13"
"","27"
"Maithili",""
"Female","582"
"Male","586"
"","1168"
"Nepali",""
"Female","225"
"Male","244"
"","469"
"Not Reported",""
"Female","40"
"Male","60"
"","100"
"Others",""
"Female","17"
"Male","11"
"","28"
"Tamang",""
"Female","11"
"Male","9"
"","20"
"Tharu",""
"Female","64"
"Male","69"
"","133"
"Urdu",""
"Female","2008"
"Male","1961"
"","3969"
