"Industries Types","Number"
"Accommodation and food","1025"
"Administrative and support service activity","94"
"Agriculture, forestry and fishing","91"
"Art, entertainment and recreation","14"
"Construction","11"
"Education","531"
"Electricty gas and water","0"
"Financial intermediation and insurance","136"
"Health and social work","210"
"Information and communications","21"
"Manufacturing","1343"
"Mining and quarrying","0"
"Other service activities","698"
"Professional,scientific and techniqual activity","74"
"Real state, renting and business activities","0"
"Transport and storage","13"
"Water supply, wet management","13"
"Wholesale and retail trade","8863"
"Total","13137"
