"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","96"
"Cow Dung","2"
"Electricity","3"
"Kerosene","40"
"LP Gas","175"
"Not stated","25"
"Others","2"
"Wood/Firewood","5553"
"Total","5896"
