"Population by Five Years Age Group","Number"
"0-4",""
"Female","1199"
"Male","1217"
"10-14",""
"Female","2170"
"Male","2104"
"15-19",""
"Female","1946"
"Male","1597"
"20-24",""
"Female","1261"
"Male","941"
"25-29",""
"Female","940"
"Male","770"
"30-34",""
"Female","930"
"Male","603"
"35-39",""
"Female","868"
"Male","702"
"40-44",""
"Female","818"
"Male","683"
"45-49",""
"Female","755"
"Male","649"
"50-54",""
"Female","627"
"Male","645"
"55-59",""
"Female","498"
"Male","521"
"5-9",""
"Female","1730"
"Male","1679"
"60-64",""
"Female","441"
"Male","448"
"65-69",""
"Female","377"
"Male","373"
"70-74",""
"Female","321"
"Male","272"
"75+",""
"Female","334"
"Male","341"
