"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","12"
"Male","7"
"Brahman - Hill",""
"Female","797"
"Male","735"
"Chhetri",""
"Female","986"
"Male","867"
"Dalit Others",""
"Female","137"
"Male","123"
"Damai/Dholi",""
"Female","104"
"Male","92"
"Gharti/Bhujel",""
"Female","133"
"Male","130"
"Hayu",""
"Female","27"
"Male","17"
"Kami",""
"Female","495"
"Male","445"
"Limbu",""
"Female","8"
"Male","7"
"Magar",""
"Female","1979"
"Male","1726"
"Newar",""
"Female","693"
"Male","633"
"Others",""
"Female","33"
"Male","36"
"Pahari",""
"Female","12"
"Male","10"
"Sanyasi/Dasnami",""
"Female","37"
"Male","36"
"Sarki",""
"Female","49"
"Male","50"
"Tamang",""
"Female","9050"
"Male","8025"
"Thakuri",""
"Female","657"
"Male","583"
"Tharu",""
"Female","6"
"Male","9"
