"Agricultural land use area","Hectare"
"Area under arable land","10231.54"
"Area under meadows and pasture","145.05"
"Area under permanent crops","291.04"
"Area under Temporary crops","9881.60"
"Area under temporary fallow","317.83"
"Area under temporary meadows","32.11"
"Other land","643.68"
"Ponds","1.33"
"Woodland and forest","304.20"
