"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","39"
"Cow Dung","28"
"Electricity","11"
"Kerosene","49"
"LP Gas","715"
"Not stated","132"
"Others","48"
"Wood/Firewood","26001"
"Total","27023"
