"Population by Five Years Age Group","Number"
"0-4",""
"Female","8417"
"Male","8751"
"10-14",""
"Female","10531"
"Male","10510"
"15-19",""
"Female","8472"
"Male","7058"
"20-24",""
"Female","7064"
"Male","4615"
"25-29",""
"Female","5662"
"Male","4099"
"30-34",""
"Female","4639"
"Male","3613"
"35-39",""
"Female","4276"
"Male","3282"
"40-44",""
"Female","3464"
"Male","2971"
"45-49",""
"Female","2853"
"Male","2502"
"50-54",""
"Female","2370"
"Male","2258"
"55-59",""
"Female","1931"
"Male","1860"
"5-9",""
"Female","9595"
"Male","10095"
"60-64",""
"Female","2245"
"Male","1816"
"65-69",""
"Female","1607"
"Male","1270"
"70-74",""
"Female","1187"
"Male","912"
"75+",""
"Female","1225"
"Male","944"
