"Population by Caste/Ethinicity","Number"
"Bhote",""
"Female","18"
"Male","13"
"Brahman - Hill",""
"Female","597"
"Male","472"
"Chhetri",""
"Female","6068"
"Male","4512"
"Dalit Others",""
"Female","2371"
"Male","1813"
"Damai/Dholi",""
"Female","365"
"Male","315"
"Kami",""
"Female","115"
"Male","106"
"Lohar",""
"Female","51"
"Male","44"
"Newar",""
"Female","21"
"Male","12"
"Others",""
"Female","16"
"Male","30"
"Sarki",""
"Female","13"
"Male","8"
"Tamang",""
"Female","5"
"Male","7"
"Terai Others",""
"Female","10"
"Male","7"
"Thakuri",""
"Female","213"
"Male","157"
