"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","10"
"Cow Dung","6"
"Electricity","0"
"Kerosene","1"
"LP Gas","4"
"Not stated","6"
"Others","3"
"Wood/Firewood","3343"
"Total","3373"
