"Population by Caste Ethinicity","Number"
"Badi",""
"Female","12"
"Male","7"
"","19"
"Brahman - Hill",""
"Female","797"
"Male","735"
"","1532"
"Chhetri",""
"Female","986"
"Male","867"
"","1853"
"Dalit Others",""
"Female","137"
"Male","123"
"","260"
"Damai/Dholi",""
"Female","104"
"Male","92"
"","196"
"Gharti/Bhujel",""
"Female","133"
"Male","130"
"","263"
"Hayu",""
"Female","27"
"Male","17"
"","44"
"Kami",""
"Female","495"
"Male","445"
"","940"
"Limbu",""
"Female","8"
"Male","7"
"","15"
"Magar",""
"Female","1979"
"Male","1726"
"","3705"
"Newar",""
"Female","693"
"Male","633"
"","1326"
"Others",""
"Female","33"
"Male","36"
"","69"
"Pahari",""
"Female","12"
"Male","10"
"","22"
"Sanyasi/Dasnami",""
"Female","37"
"Male","36"
"","73"
"Sarki",""
"Female","49"
"Male","50"
"","99"
"Tamang",""
"Female","9050"
"Male","8025"
"","17075"
"Thakuri",""
"Female","657"
"Male","583"
"","1240"
"Tharu",""
"Female","6"
"Male","9"
"","15"
