"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","30"
"Male","20"
"Bangali",""
"Female","12"
"Male","16"
"Brahman - Hill",""
"Female","1566"
"Male","1308"
"Chhetri",""
"Female","4049"
"Male","3435"
"Dalit Others",""
"Female","1024"
"Male","820"
"Damai/Dholi",""
"Female","202"
"Male","182"
"Gurung",""
"Female","10"
"Male","9"
"Hajam/Thakur",""
"Female","17"
"Male","23"
"Kami",""
"Female","482"
"Male","435"
"Lohar",""
"Female","8"
"Male","3"
"Magar",""
"Female","500"
"Male","464"
"Others",""
"Female","38"
"Male","30"
"Rai",""
"Female","6"
"Male","6"
"Sanyasi/Dasnami",""
"Female","259"
"Male","226"
"Sarki",""
"Female","58"
"Male","55"
"Thakuri",""
"Female","646"
"Male","532"
"Thami",""
"Female","50"
"Male","51"
"Tharu",""
"Female","2752"
"Male","2625"
