"Agricultural land use area","Hectare"
"Area under arable land","22551.00"
"Area under meadows and pasture","80.00"
"Area under permanent crops","1521.00"
"Area under Temporary crops","21912.00"
"Area under temporary fallow","557.00"
"Area under temporary meadows","82.00"
"Other land","1479.00"
"Ponds","16.00"
"Woodland and forest","979.00"
"Total","49177.00"
