"Population by Caste Ethinicity","Number"
"Badi",""
"Female","38"
"Male","41"
"","79"
"Bantaba",""
"Female","6"
"Male","6"
"","12"
"Baraee",""
"Female","6"
"Male","6"
"","12"
"Bhote",""
"Female","105"
"Male","84"
"","189"
"Brahman - Hill",""
"Female","12007"
"Male","10773"
"","22780"
"Brahman - Tarai",""
"Female","244"
"Male","226"
"","470"
"Chhetri",""
"Female","20985"
"Male","18930"
"","39915"
"Dalit Others",""
"Female","35"
"Male","32"
"","67"
"Damai/Dholi",""
"Female","4792"
"Male","4329"
"","9121"
"Danuwar",""
"Female","9278"
"Male","7926"
"","17204"
"Dhanuk",""
"Female","31"
"Male","36"
"","67"
"Dhobi",""
"Female","5"
"Male","6"
"","11"
"Dom",""
"Female","22"
"Male","30"
"","52"
"Ghale",""
"Female","28"
"Male","19"
"","47"
"Gharti/Bhujel",""
"Female","2323"
"Male","2180"
"","4503"
"Gurung",""
"Female","246"
"Male","215"
"","461"
"Hajam/Thakur",""
"Female","64"
"Male","80"
"","144"
"Halwai",""
"Female","55"
"Male","62"
"","117"
"Hayu",""
"Female","869"
"Male","805"
"","1674"
"Kalwar",""
"Female","167"
"Male","171"
"","338"
"Kami",""
"Female","7026"
"Male","6448"
"","13474"
"Kanu",""
"Female","16"
"Male","23"
"","39"
"Kathabaniyan",""
"Female","43"
"Male","56"
"","99"
"Kayastha",""
"Female","47"
"Male","42"
"","89"
"Koiri/Kushwaha",""
"Female","12"
"Male","12"
"","24"
"Kumal",""
"Female","7"
"Male","5"
"","12"
"Limbu",""
"Female","23"
"Male","22"
"","45"
"Lohar",""
"Female","5"
"Male","13"
"","18"
"Magar",""
"Female","22795"
"Male","20578"
"","43373"
"Majhi",""
"Female","5364"
"Male","4886"
"","10250"
"Mallaha",""
"Female","13"
"Male","4"
"","17"
"Musahar",""
"Female","931"
"Male","918"
"","1849"
"Musalman",""
"Female","59"
"Male","83"
"","142"
"Newar",""
"Female","9596"
"Male","8834"
"","18430"
"Others",""
"Female","310"
"Male","360"
"","670"
"Pahari",""
"Female","404"
"Male","363"
"","767"
"Rai",""
"Female","1482"
"Male","1347"
"","2829"
"Rajput",""
"Female","22"
"Male","20"
"","42"
"Sanyasi/Dasnami",""
"Female","865"
"Male","741"
"","1606"
"Sarki",""
"Female","5453"
"Male","5036"
"","10489"
"Sherpa",""
"Female","11"
"Male","11"
"","22"
"Sonar",""
"Female","123"
"Male","146"
"","269"
"Sudhi",""
"Female","410"
"Male","405"
"","815"
"Sunuwar",""
"Female","4188"
"Male","3874"
"","8062"
"Tamang",""
"Female","41622"
"Male","37671"
"","79293"
"Tatma/Tatwa",""
"Female","9"
"Male","6"
"","15"
"Teli",""
"Female","144"
"Male","151"
"","295"
"Terai Others",""
"Female","29"
"Male","29"
"","58"
"Thakuri",""
"Female","898"
"Male","816"
"","1714"
"Thami",""
"Female","428"
"Male","392"
"","820"
"Tharu",""
"Female","53"
"Male","66"
"","119"
"Undefined Others",""
"Female","31"
"Male","20"
"","51"
"Yadav",""
"Female","37"
"Male","57"
"","94"
"Yakkha",""
"Female","10"
"Male","9"
"","19"
