"Number of households by type of outer wall","Number"
"BambooWall","12389"
"Cement Bonded Bricks/Stone Wall","5087"
"Mud Bonded Bricks/Stone Wall","29469"
"Not Stated about Wall","379"
"Other Type Wall","494"
"Unbaked Bricks","55"
"Wood/Planks","9671"
"Total","57544"
