"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","590"
"Cow Dung","17"
"Electricity Fuel","3"
"KeroseneFuel","28"
"LP Gas","413"
"Not Sated about Fuel","15"
"OthersFuel","1"
"Wood/FireWood","5348"
"Total","6415"
