"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","77"
"Male","56"
"","133"
"Chamling",""
"Female","212"
"Male","187"
"","399"
"Chhetri",""
"Female","1524"
"Male","1413"
"","2937"
"Damai/Dholi",""
"Female","200"
"Male","178"
"","378"
"Gharti/Bhujel",""
"Female","53"
"Male","50"
"","103"
"Kami",""
"Female","270"
"Male","234"
"","504"
"Magar",""
"Female","799"
"Male","699"
"","1498"
"Majhi",""
"Female","61"
"Male","50"
"","111"
"Newar",""
"Female","11"
"Male","12"
"","23"
"Others",""
"Female","13"
"Male","15"
"","28"
"Rai",""
"Female","2821"
"Male","2506"
"","5327"
"Sanyasi/Dasnami",""
"Female","5"
"Male","7"
"","12"
"Sarki",""
"Female","38"
"Male","49"
"","87"
"Sherpa",""
"Female","30"
"Male","14"
"","44"
"Sunuwar",""
"Female","5"
"Male","7"
"","12"
"Tamang",""
"Female","211"
"Male","185"
"","396"
