"Number of households by type of outer wall","Number"
"BambooWall","476"
"Cement Bonded Bricks/Stone Wall","14919"
"Mud Bonded Bricks/Stone Wall","8371"
"Not Stated about Wall","464"
"Other Type Wall","2438"
"Unbaked Bricks","705"
"Wood/Planks","519"
"Total","27892"
