"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","2175"
"Mud Roof","0"
"Not Sated Roof","505"
"Other Type of Roof","85"
"RCC Roof","18168"
"Thatch/Straw Roof","2415"
"Tile/Slate Roof","4332"
"Wood/Planks Roof","212"
"Total","27892"
