"Population by Five Years Age Group","Number"
"0-4",""
"Female","3613"
"Male","3660"
"10-14",""
"Female","3931"
"Male","4336"
"15-19",""
"Female","3144"
"Male","3423"
"20-24",""
"Female","2482"
"Male","2575"
"25-29",""
"Female","2322"
"Male","2504"
"30-34",""
"Female","2187"
"Male","1946"
"35-39",""
"Female","1771"
"Male","2025"
"40-44",""
"Female","1376"
"Male","1579"
"45-49",""
"Female","1099"
"Male","1333"
"50-54",""
"Female","918"
"Male","1045"
"55-59",""
"Female","890"
"Male","853"
"5-9",""
"Female","4288"
"Male","4491"
"60-64",""
"Female","778"
"Male","955"
"65-69",""
"Female","547"
"Male","701"
"70-74",""
"Female","388"
"Male","501"
"75+",""
"Female","331"
"Male","430"
