"Number of households by type of outer wall","Number"
"BambooWall","779"
"Cement Bonded Bricks/Stone Wall","3964"
"Mud Bonded Bricks/Stone Wall","2977"
"Not stated","308"
"Others","126"
"Unbaked Bricks","117"
"Wood/Planks","250"
"Total","8521"
