"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","16920"
"Christianity","321"
"Hindu","27599"
"Islam","4"
"Jainism","0"
"Kirat","1"
"Prakriti","565"
"Sikhism","0"
"Undefined","62"
"Total","45473"
