"Industries Types","Number"
"Accommodation and food","1766"
"Administrative and support service activity","21"
"Agriculture, forestry and fishing","352"
"Art, entertainment and recreation","16"
"Construction","11"
"Education","415"
"Electricty gas and water","34"
"Financial intermediation and insurance","240"
"Health and social work","247"
"Information and communications","29"
"Manufacturing","1539"
"Mining and quarrying","12"
"Other service activities","679"
"Professional,scientific and techniqual activity","75"
"Real state, renting and business activities","2"
"Transport and storage","30"
"Water supply, wet management","58"
"Wholesale and retail trade","7219"
"Total","12745"
