"Industries Employment","Number"
"Accommodation,  food",""
"Female","1998"
"Male","2335"
"Administrative, support service",""
"Female","28"
"Male","54"
"Agriculture, forestry and  fishing",""
"Female","408"
"Male","805"
"Arts, entertainment, recreation",""
"Female","6"
"Male","21"
"Construction",""
"Female","5"
"Male","57"
"Education",""
"Female","3245"
"Male","3427"
"Electricity, gas and water",""
"Female","14"
"Male","155"
"Financial intermediation and insurance",""
"Female","616"
"Male","811"
"Health, social work",""
"Female","699"
"Male","431"
"Information and communication",""
"Female","61"
"Male","123"
"Manufacturing",""
"Female","2682"
"Male","5627"
"Other service activities",""
"Female","596"
"Male","668"
"Professional, scientific, techniqual activity",""
"Female","56"
"Male","116"
"Real estate, renting and business activity",""
"Female","2"
"Male","5"
"Transportation,  storage",""
"Female","21"
"Male","88"
"Water supply, wet management",""
"Female","50"
"Male","175"
"Wholesale, retail trade",""
"Female","5852"
"Male","6903"
