"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","11095"
"Male","11672"
"Doteli",""
"Female","12"
"Male","11"
"Ghale",""
"Female","19"
"Male","23"
"Gurung",""
"Female","35"
"Male","31"
"Limbu",""
"Female","14"
"Male","12"
"Magar",""
"Female","4"
"Male","7"
"Maithili",""
"Female","944"
"Male","997"
"Nepali",""
"Female","2051"
"Male","1899"
"Newar",""
"Female","80"
"Male","79"
"Not Reported",""
"Female","35"
"Male","44"
"Others",""
"Female","15"
"Male","9"
"Sanskrit",""
"Female","36"
"Male","25"
"Tamang",""
"Female","814"
"Male","791"
"Tharu",""
"Female","2613"
"Male","2617"
"Uranw/Urau",""
"Female","255"
"Male","244"
"Urdu",""
"Female","999"
"Male","1058"
"Yakkha",""
"Female","26"
"Male","41"
