"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","127"
"Cow Dung","54"
"Electricity","0"
"Kerosene","78"
"LP Gas","42"
"Not stated","45"
"Others","2"
"Wood/Firewood","6064"
"Total","6412"
