"Population by Five Years Age Group","Number"
"0-4",""
"Female","2292"
"Male","2320"
"10-14",""
"Female","2296"
"Male","2349"
"15-19",""
"Female","1891"
"Male","2020"
"20-24",""
"Female","1676"
"Male","1619"
"25-29",""
"Female","1666"
"Male","1481"
"30-34",""
"Female","1303"
"Male","1332"
"35-39",""
"Female","1146"
"Male","1220"
"40-44",""
"Female","991"
"Male","1002"
"45-49",""
"Female","765"
"Male","876"
"50-54",""
"Female","604"
"Male","695"
"55-59",""
"Female","514"
"Male","581"
"5-9",""
"Female","2658"
"Male","2751"
"60-64",""
"Female","446"
"Male","501"
"65-69",""
"Female","348"
"Male","376"
"70-74",""
"Female","231"
"Male","248"
"75+",""
"Female","220"
"Male","189"
