"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","21"
"Male","26"
"Brahman - Hill",""
"Female","8497"
"Male","7989"
"Chhetri",""
"Female","1818"
"Male","1676"
"Dalit Others",""
"Female","15"
"Male","11"
"Damai/Dholi",""
"Female","559"
"Male","498"
"Ghale",""
"Female","15"
"Male","22"
"Gharti/Bhujel",""
"Female","180"
"Male","167"
"Gurung",""
"Female","62"
"Male","62"
"Kami",""
"Female","609"
"Male","516"
"Magar",""
"Female","478"
"Male","446"
"Musalman",""
"Female","9"
"Male","10"
"Newar",""
"Female","1119"
"Male","1003"
"Others",""
"Female","26"
"Male","31"
"Rai",""
"Female","982"
"Male","847"
"Sanyasi/Dasnami",""
"Female","73"
"Male","85"
"Sarki",""
"Female","405"
"Male","384"
"Sunuwar",""
"Female","24"
"Male","22"
"Tamang",""
"Female","6178"
"Male","5781"
"Tharu",""
"Female","5"
"Male","10"
"Undefined Others",""
"Female","21"
"Male","16"
