"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","6"
"Cow Dung","5"
"Electricity Fuel","0"
"KeroseneFuel","17"
"LP Gas","4"
"Not Sated about Fuel","12"
"OthersFuel","0"
"Wood/FireWood","3760"
"Total","3804"
