"Population by Caste Ethinicity","Number"
"Badi",""
"Female","27"
"Male","22"
"","49"
"Brahman - Hill",""
"Female","1495"
"Male","1250"
"","2745"
"Chhetri",""
"Female","1787"
"Male","1488"
"","3275"
"Damai/Dholi",""
"Female","284"
"Male","227"
"","511"
"Gharti/Bhujel",""
"Female","153"
"Male","135"
"","288"
"Kami",""
"Female","324"
"Male","291"
"","615"
"Kathabaniyan",""
"Female","5"
"Male","9"
"","14"
"Kulung",""
"Female","153"
"Male","151"
"","304"
"Limbu",""
"Female","3840"
"Male","3304"
"","7144"
"Magar",""
"Female","9"
"Male","7"
"","16"
"Majhi",""
"Female","58"
"Male","33"
"","91"
"Newar",""
"Female","130"
"Male","111"
"","241"
"Others",""
"Female","15"
"Male","13"
"","28"
"Rai",""
"Female","242"
"Male","210"
"","452"
"Sanyasi/Dasnami",""
"Female","495"
"Male","375"
"","870"
"Sarki",""
"Female","88"
"Male","85"
"","173"
"Sunuwar",""
"Female","19"
"Male","8"
"","27"
"Tamang",""
"Female","455"
"Male","402"
"","857"
