"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","3710"
"Male","3057"
"Chhetri",""
"Female","6163"
"Male","5105"
"Dalit Others",""
"Female","1007"
"Male","963"
"Damai/Dholi",""
"Female","111"
"Male","89"
"Kami",""
"Female","1244"
"Male","1059"
"Lohar",""
"Female","136"
"Male","124"
"Newar",""
"Female","10"
"Male","11"
"Others",""
"Female","15"
"Male","18"
"Sanyasi/Dasnami",""
"Female","186"
"Male","138"
"Sarki",""
"Female","363"
"Male","310"
"Thakuri",""
"Female","467"
"Male","346"
