"Population by Five Years Age Group","Number"
"0-4",""
"Female","1596"
"Male","1632"
"10-14",""
"Female","1714"
"Male","1670"
"15-19",""
"Female","1377"
"Male","1211"
"20-24",""
"Female","1269"
"Male","625"
"25-29",""
"Female","978"
"Male","503"
"30-34",""
"Female","880"
"Male","553"
"35-39",""
"Female","703"
"Male","530"
"40-44",""
"Female","618"
"Male","483"
"45-49",""
"Female","477"
"Male","401"
"50-54",""
"Female","434"
"Male","434"
"55-59",""
"Female","377"
"Male","370"
"5-9",""
"Female","1645"
"Male","1672"
"60-64",""
"Female","495"
"Male","353"
"65-69",""
"Female","291"
"Male","286"
"70-74",""
"Female","281"
"Male","236"
"75+",""
"Female","277"
"Male","261"
