"Number of households by type of outer wall","Number"
"BambooWall","4008"
"Cement Bonded Bricks/Stone Wall","641"
"Mud Bonded Bricks/Stone Wall","633"
"Not stated","38"
"Others","845"
"Unbaked Bricks","15"
"Wood/Planks","212"
"Total","6392"
