"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","5"
"Cow Dung","2048"
"Electricity Fuel","0"
"KeroseneFuel","22"
"LP Gas","2"
"Not Sated about Fuel","26"
"OthersFuel","3"
"Wood/FireWood","869"
"Total","2975"
