"Number of households by type of outer wall","Number"
"BambooWall","2039"
"Cement Bonded Bricks/Stone Wall","658"
"Mud Bonded Bricks/Stone Wall","138"
"Not Stated about Wall","59"
"Other Type Wall","3"
"Unbaked Bricks","5"
"Wood/Planks","73"
"Total","2975"
