"Number of households by type of outer wall","Number"
"BambooWall","3397"
"Cement Bonded Bricks/Stone Wall","1119"
"Mud Bonded Bricks/Stone Wall","414"
"Not stated","41"
"Others","40"
"Unbaked Bricks","3"
"Wood/Planks","2325"
"Total","7339"
