"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","239"
"Cow Dung","3"
"Electricity","5"
"Kerosene","30"
"LP Gas","828"
"Not stated","20"
"Others","4"
"Wood/Firewood","6210"
"Total","7339"
